Id,Label,modularity_class,degree,weighted degree,componentnumber,clustering,triangles,eigencentrality,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality
49,Gillenormand,6,7,29,0,0.47619,10,0.242072,4,0.44186,0.487939,57.600272
51,MlleGillenormand,6,7,23,0,0.428571,9,0.234813,4,0.44186,0.487939,135.656944
75,Brujon,7,7,13,0,0.904762,19,0.347608,4,0.38,0.435307,1.25
76,MmeHucheloup,8,7,7,0,1,21,0.407719,4,0.353488,0.412281,0
34,Judge,3,6,14,0,1,15,0.180129,4,0.404255,0.449561,0
35,Champmathieu,3,6,14,0,1,15,0.180129,4,0.404255,0.449561,0
36,Brevet,3,6,11,0,1,15,0.180129,4,0.404255,0.449561,0
37,Chenildieu,3,6,11,0,1,15,0.180129,4,0.404255,0.449561,0
38,Cochepaille,3,6,11,0,1,15,0.180129,4,0.404255,0.449561,0
28,Fauchelevent,4,4,14,0,0.333333,2,0.156741,4,0.402116,0.438596,75.5
31,Simplice,2,4,8,0,0.666667,4,0.188234,4,0.417582,0.453947,24.624841
54,LtGillenormand,6,4,5,0,1,6,0.148428,4,0.365385,0.405702,0
2,MlleBaptistine,1,3,17,0,1,3,0.111886,4,0.413043,0.445175,0
3,MmeMagloire,1,3,19,0,1,3,0.111886,4,0.413043,0.445175,0
39,Pontmercy,6,3,3,0,0.333333,1,0.129904,4,0.372549,0.408991,19.7375
42,Anzelma,7,3,5,0,1,3,0.136822,4,0.351852,0.383772,0
43,Woman2,6,3,5,0,1,3,0.181605,4,0.402116,0.434211,0
72,Toussaint,1,3,4,0,1,3,0.181605,4,0.402116,0.434211,0
12,Marguerite,1,2,3,0,1,1,0.124888,4,0.413043,0.440789,0
30,Perpetue,2,2,3,0,1,1,0.054573,5,0.317992,0.349561,0
33,Woman1,1,2,3,0,1,1,0.144879,4,0.395833,0.423246,0
44,MotherInnocent,4,2,4,0,1,1,0.101734,4,0.397906,0.425439,0
47,MmeBurgon,5,2,3,0,0,0,0.083171,4,0.343891,0.377193,75
50,Magnon,6,2,2,0,0,0,0.061563,5,0.334802,0.363377,0.619048
52,MmePontmercy,6,2,2,0,0,0,0.032845,5,0.315353,0.340351,1
56,BaronessT,6,2,2,0,1,1,0.090493,4,0.351852,0.379386,0
73,Child1,8,2,5,0,1,1,0.089624,4,0.342342,0.375,0
74,Child2,8,2,5,0,1,1,0.089624,4,0.342342,0.375,0
1,Napoleon,0,1,1,0,0,0,0.013645,5,0.301587,0.324342,0
4,CountessDeLo,0,1,1,0,0,0,0.013645,5,0.301587,0.324342,0
5,Geborand,0,1,1,0,0,0,0.013645,5,0.301587,0.324342,0
6,Champtercier,0,1,1,0,0,0,0.013645,5,0.301587,0.324342,0
7,Cravatte,0,1,1,0,0,0,0.013645,5,0.301587,0.324342,0
8,Count,0,1,2,0,0,0,0.013645,5,0.301587,0.324342,0
9,OldMan,0,1,1,0,0,0,0.013645,5,0.301587,0.324342,0
10,Labarre,1,1,1,0,0,0,0.087364,4,0.393782,0.416667,0
13,MmeDeR,1,1,1,0,0,0,0.087364,4,0.393782,0.416667,0
14,Isabeau,1,1,1,0,0,0,0.087364,4,0.393782,0.416667,0
15,Gervais,1,1,1,0,0,0,0.087364,4,0.393782,0.416667,0
32,Scaufflaire,1,1,1,0,0,0,0.087364,4,0.393782,0.416667,0
40,Boulatruelle,7,1,1,0,0,0,0.057196,4,0.342342,0.362939,0
45,Gribier,4,1,2,0,0,0,0.01437,5,0.287879,0.304605,0
46,Jondrette,5,1,1,0,0,0,0.007685,5,0.256757,0.274342,0
53,MlleVaubois,6,1,1,0,0,0,0.021209,5,0.307692,0.326096,0
67,MotherPlutarch,8,1,3,0,0,0,0.046648,5,0.284644,0.312061,0
